sample,metric,contrast,group1,group2,group1_label,group2_label,n_nuclei_g1,n_nuclei_g2,median_g1,median_g2,diff_median,p_value,p_adj_BH,sig,sig_adj
ASC399,olive_moment,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,68,101,4.248999649073587,13.541082498446428,-9.292082849372841,2.623901253444397e-6,1.9679259400832976e-5,***,***
ASC399,tail_dna_percent,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,68,101,17.784391140677627,38.93415630116106,-21.149765160483433,8.157024394592239e-6,6.11776829594418e-5,***,***
ASC399,tail_length,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,68,101,17,58,-41,6.155600120552514e-9,3.077800060276257e-8,***,***
ASC399,olive_moment,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,68,50,4.248999649073587,9.200593498336332,-4.9515938492627445,0.0022695633739914316,0.005673908434978579,**,**
ASC399,tail_dna_percent,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,68,50,17.784391140677627,32.19650240595069,-14.412111265273062,2.2940458645500023e-4,8.602671992062508e-4,***,***
ASC399,tail_length,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,68,50,17,37,-20,0.001108482949212869,0.0024145095049709305,**,**
ASC399,olive_moment,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,68,52,4.248999649073587,7.717909308209451,-3.468909659135864,0.005937140926533104,0.012722444842570938,**,*
ASC399,tail_dna_percent,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,68,52,17.784391140677627,25.32878562541749,-7.544394484739861,0.013490586605190242,0.0337264665129756,*,*
ASC399,tail_length,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,68,52,17,40.5,-23.5,1.9952690993762566e-5,7.482259122660962e-5,***,***
ASC399,olive_moment,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,68,53,4.248999649073587,25.353118310407343,-21.104118661333757,2.2440609560327147e-9,3.366091434049072e-8,***,***
ASC399,tail_dna_percent,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,68,53,17.784391140677627,63.88123676582447,-46.09684562514684,1.8119821063620114e-8,2.717973159543017e-7,***,***
ASC399,tail_length,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,68,53,17,70,-53,1.0746493948801065e-11,1.6119740923201599e-10,***,***
ASC399,olive_moment,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,68,53,4.248999649073587,11.795058701390497,-7.5460590523169095,1.4678452797111618e-5,7.339226398555808e-5,***,***
ASC399,tail_dna_percent,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,68,53,17.784391140677627,37.674320360618104,-19.889929219940477,2.2936706969500105e-5,1.1468353484750052e-4,***,***
ASC399,tail_length,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,68,53,17,69,-52,3.2955188874484716e-10,2.471639165586354e-9,***,***
ASC399,olive_moment,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,101,50,13.541082498446428,9.200593498336332,4.340489000110097,0.156347062372529,0.18040045658368728,ns,ns
ASC399,tail_dna_percent,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,101,50,38.93415630116106,32.19650240595069,6.7376538952103715,0.8293882006762692,0.8293882006762692,ns,ns
ASC399,tail_length,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,101,50,58,37,21,0.024443900937142923,0.040739834895238206,*,*
ASC399,olive_moment,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,101,52,13.541082498446428,7.717909308209451,5.823173190236977,0.11472024227591515,0.15643669401261157,ns,ns
ASC399,tail_dna_percent,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,101,52,38.93415630116106,25.32878562541749,13.605370675743572,0.09727390851039895,0.14591086276559842,ns,ns
ASC399,tail_length,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,101,52,58,40.5,17.5,0.3345330840721725,0.35842830436304196,ns,ns
ASC399,olive_moment,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,101,53,13.541082498446428,25.353118310407343,-11.812035811960914,0.045050760668691014,0.08447017625379566,*,ns
ASC399,tail_dna_percent,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,101,53,38.93415630116106,63.88123676582447,-24.947080464663408,0.03319811142548957,0.062246458922792944,*,ns
ASC399,tail_length,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,101,53,58,70,-12,0.06648498794948124,0.09066134720383805,ns,ns
ASC399,olive_moment,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,101,53,13.541082498446428,11.795058701390497,1.7460237970559316,0.6318121396781581,0.676941578226598,ns,ns
ASC399,tail_dna_percent,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,101,53,38.93415630116106,37.674320360618104,1.2598359405429562,0.6453993583403219,0.6914993125074878,ns,ns
ASC399,tail_length,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,101,53,58,69,-11,0.16448607213638106,0.2056075901704763,ns,ns
ASC399,olive_moment,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,50,52,9.200593498336332,7.717909308209451,1.4826841901268804,0.6953547743331034,0.6953547743331034,ns,ns
ASC399,tail_dna_percent,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,50,52,32.19650240595069,25.32878562541749,6.8677167805332004,0.17524753424740552,0.21905941780925692,ns,ns
ASC399,tail_length,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,50,52,37,40.5,-3.5,0.2578247674231718,0.2974901162575059,ns,ns
ASC399,olive_moment,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,50,53,9.200593498336332,25.353118310407343,-16.15252481207101,8.925014627209782e-4,0.0026775043881629343,***,**
ASC399,tail_dna_percent,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,50,53,32.19650240595069,63.88123676582447,-31.68473435987378,0.03172643548440724,0.062246458922792944,*,ns
ASC399,tail_length,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,50,53,37,70,-33,1.1773538321407462e-4,3.5320614964222386e-4,***,***
ASC399,olive_moment,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,50,53,9.200593498336332,11.795058701390497,-2.594465203054165,0.11402402561320057,0.15643669401261157,ns,ns
ASC399,tail_dna_percent,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,50,53,32.19650240595069,37.674320360618104,-5.477817954667415,0.5952896591358494,0.6868726836182877,ns,ns
ASC399,tail_length,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,50,53,37,69,-32,0.0011267711023197676,0.0024145095049709305,**,**
ASC399,olive_moment,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,52,53,7.717909308209451,25.353118310407343,-17.63520900219789,8.117327589086798e-4,0.0026775043881629343,***,**
ASC399,tail_dna_percent,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,52,53,25.32878562541749,63.88123676582447,-38.55245114040698,4.390925270139239e-4,0.0013172775810417717,***,**
ASC399,tail_length,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,52,53,40.5,70,-29.5,0.009432866568607676,0.017686624816139394,**,*
ASC399,olive_moment,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,52,53,7.717909308209451,11.795058701390497,-4.077149393181045,0.07531693259244696,0.1255282209874116,ns,ns
ASC399,tail_dna_percent,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,52,53,25.32878562541749,37.674320360618104,-12.345534735200616,0.04186152940664278,0.06976921567773797,*,ns
ASC399,tail_length,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,52,53,40.5,69,-28.5,0.03468123661799171,0.05202185492698756,*,ns
ASC399,olive_moment,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,53,53,25.353118310407343,11.795058701390497,13.558059609016846,0.13262418379658242,0.16578022974572804,ns,ns
ASC399,tail_dna_percent,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,53,53,63.88123676582447,37.674320360618104,26.206916405206364,0.12940030075171058,0.1764549555705144,ns,ns
ASC399,tail_length,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,53,53,70,69,1,0.6975441073188346,0.6975441073188346,ns,ns
ASC399cse,olive_moment,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,48,19,12.392968358421982,7.100161326154977,5.292807032267005,0.059449360299403765,0.1486234007485094,ns,ns
ASC399cse,tail_dna_percent,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,48,19,36.33035975365707,22.903746213403142,13.426613540253928,0.05759527678497871,0.10799114397183508,ns,ns
ASC399cse,tail_length,CC vs CX,CC,CX,CTL-CTL,CTL-CSE,48,19,60,38,22,0.02945501817422692,0.11510492318433349,*,ns
ASC399cse,olive_moment,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,48,30,12.392968358421982,7.652946166688203,4.740022191733779,0.24790924911200768,0.37186387366801155,ns,ns
ASC399cse,tail_dna_percent,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,48,30,36.33035975365707,19.264525199022657,17.065834554634414,0.033076821420902056,0.08968839976909564,*,ns
ASC399cse,tail_length,CC vs SC,CC,SC,CTL-CTL,SFN-CTL,48,30,60,46.5,13.5,0.2314445597563932,0.385740932927322,ns,ns
ASC399cse,olive_moment,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,48,16,12.392968358421982,5.304451867775452,7.08851649064653,0.028245161669794985,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,48,16,36.33035975365707,17.202480225341116,19.127879528315955,0.019626980665685193,0.08968839976909564,*,ns
ASC399cse,tail_length,CC vs SX,CC,SX,CTL-CTL,SFN-CSE,48,16,60,31,29,0.032357462627127506,0.11510492318433349,*,ns
ASC399cse,olive_moment,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,48,43,12.392968358421982,23.247683682090162,-10.85471532366818,0.6764218953101808,0.7247377449751937,ns,ns
ASC399cse,tail_dna_percent,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,48,43,36.33035975365707,48.40876184468942,-12.078402091032352,1,1,ns,ns
ASC399cse,tail_length,CC vs XC,CC,XC,CTL-CTL,CSE-CTL,48,43,60,72,-12,0.9019252809561721,0.9019252809561721,ns,ns
ASC399cse,olive_moment,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,48,15,12.392968358421982,6.15637425356163,6.236594104860352,0.031212970683833687,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,48,15,36.33035975365707,16.785478688315276,19.544881065341794,0.0197081245616232,0.08968839976909564,*,ns
ASC399cse,tail_length,CC vs XX,CC,XX,CTL-CTL,CSE-CSE,48,15,60,27,33,0.020995349476458314,0.11510492318433349,*,ns
ASC399cse,olive_moment,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,19,30,7.100161326154977,7.652946166688203,-0.5527848405332261,0.3720707943694152,0.5073692650492025,ns,ns
ASC399cse,tail_dna_percent,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,19,30,22.903746213403142,19.264525199022657,3.6392210143804853,0.8134520532421973,0.938598522971766,ns,ns
ASC399cse,tail_length,CX vs SC,CX,SC,CTL-CSE,SFN-CTL,19,30,38,46.5,-8.5,0.31447838434883946,0.4288341604756901,ns,ns
ASC399cse,olive_moment,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,19,16,7.100161326154977,5.304451867775452,1.795709458379525,0.6311257288405782,0.7247377449751937,ns,ns
ASC399cse,tail_dna_percent,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,19,16,22.903746213403142,17.202480225341116,5.701265988062026,0.4562418259089784,0.5703022823862229,ns,ns
ASC399cse,tail_length,CX vs SX,CX,SX,CTL-CSE,SFN-CSE,19,16,38,31,7,0.6309822043798772,0.6956939193603414,ns,ns
ASC399cse,olive_moment,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,19,43,7.100161326154977,23.247683682090162,-16.147522355935187,0.018701956139487816,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,19,43,22.903746213403142,48.40876184468942,-25.50501563128628,0.027897158861841815,0.08968839976909564,*,ns
ASC399cse,tail_length,CX vs XC,CX,XC,CTL-CSE,CSE-CTL,19,43,38,72,-34,0.030712738226648464,0.11510492318433349,*,ns
ASC399cse,olive_moment,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,7.100161326154977,6.15637425356163,0.9437870725933468,0.6028782026438425,0.7247377449751937,ns,ns
ASC399cse,tail_dna_percent,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,22.903746213403142,16.785478688315276,6.118267525087866,0.4454295381571297,0.5703022823862229,ns,ns
ASC399cse,tail_length,CX vs XX,CX,XX,CTL-CSE,CSE-CSE,19,15,38,27,11,0.4048815145211718,0.5061018931514648,ns,ns
ASC399cse,olive_moment,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,7.652946166688203,5.304451867775452,2.348494298912751,0.16998090357703796,0.3187141942069462,ns,ns
ASC399cse,tail_dna_percent,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,19.264525199022657,17.202480225341116,2.062044973681541,0.326992631686817,0.5449877194780284,ns,ns
ASC399cse,tail_length,SC vs SX,SC,SX,SFN-CTL,SFN-CSE,30,16,46.5,31,15.5,0.27831696302267656,0.41747544453401486,ns,ns
ASC399cse,olive_moment,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,7.652946166688203,23.247683682090162,-15.59473751540196,0.07193759798831699,0.1541519956892507,ns,ns
ASC399cse,tail_dna_percent,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,19.264525199022657,48.40876184468942,-29.144236645666766,0.0418545865589113,0.08968839976909564,*,ns
ASC399cse,tail_length,SC vs XC,SC,XC,SFN-CTL,CSE-CTL,30,43,46.5,72,-25.5,0.171301629467802,0.32119055525212875,ns,ns
ASC399cse,olive_moment,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,7.652946166688203,6.15637425356163,1.496571913126573,0.2149849049655124,0.35830817494252065,ns,ns
ASC399cse,tail_dna_percent,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,19.264525199022657,16.785478688315276,2.4790465107073807,0.36658220941051173,0.5498733141157676,ns,ns
ASC399cse,tail_length,SC vs XX,SC,XX,SFN-CTL,CSE-CSE,30,15,46.5,27,19.5,0.15182612151876018,0.32119055525212875,ns,ns
ASC399cse,olive_moment,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,5.304451867775452,23.247683682090162,-17.94323181431471,0.017385346577076074,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,17.202480225341116,48.40876184468942,-31.206281619348307,0.023876776498424623,0.08968839976909564,*,ns
ASC399cse,tail_length,SX vs XC,SX,XC,SFN-CSE,CSE-CTL,16,43,31,72,-41,0.0460419692737334,0.11510492318433349,*,ns
ASC399cse,olive_moment,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,5.304451867775452,6.15637425356163,-0.8519223857861782,0.7368768981757916,0.7368768981757916,ns,ns
ASC399cse,tail_dna_percent,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,17.202480225341116,16.785478688315276,0.41700153702583975,1,1,ns,ns
ASC399cse,tail_length,SX vs XX,SX,XX,SFN-CSE,CSE-CSE,16,15,31,27,4,0.6493143247363187,0.6956939193603414,ns,ns
ASC399cse,olive_moment,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,23.247683682090162,6.15637425356163,17.091309428528533,0.02525628242450398,0.09363891205150106,*,ns
ASC399cse,tail_dna_percent,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,48.40876184468942,16.785478688315276,31.623283156374146,0.03940963851683258,0.08968839976909564,*,ns
ASC399cse,tail_length,XC vs XX,XC,XX,CSE-CTL,CSE-CSE,43,15,72,27,45,0.04200542102993982,0.11510492318433349,*,ns
