experiment,line,metric,result_type,conc,dose_label,estimate,SE,df,lcl,ucl,contrast,null,z.ratio,p.value
CSE,ASC399,pct_555_pos,mean,0,0    %,0.7027655124331862,0.0069673743541061135,Inf,0.688931253998008,0.7162379314211614,NA,NA,NA,NA
CSE,ASC399,pct_555_pos,mean,0.03,3    %,0.7918505060991435,0.006540482178589133,Inf,0.7787404234321922,0.8043789229855953,NA,NA,NA,NA
CSE,ASC399,pct_555_pos,mean,0.06,6    %,0.7150754837337869,0.006581931584132696,Inf,0.7020014614976496,0.7277983237803225,NA,NA,NA,NA
CSE,ASC399,pct_555_pos,mean,0.12,12   %,0.8438260869565182,0.00677035985977667,Inf,0.830092561456203,0.8566412511172601,NA,NA,NA,NA
CSE,ASC399cse,pct_555_pos,mean,0,0    %,0.7581928838951313,0.006551017590633571,Inf,0.7451221185343803,0.7707995336330183,NA,NA,NA,NA
CSE,ASC399cse,pct_555_pos,mean,0.03,3    %,0.7641365257259295,0.00677548945314559,Inf,0.7505994772850462,0.7771569486188745,NA,NA,NA,NA
CSE,ASC399cse,pct_555_pos,mean,0.06,6    %,0.8058405682715072,0.0064158597858838765,Inf,0.7929559385388566,0.818107297987313,NA,NA,NA,NA
CSE,ASC399cse,pct_555_pos,mean,0.12,12   %,0.768039422738472,0.007918870139741272,Inf,0.752157910919231,0.783196596908277,NA,NA,NA,NA
CSE,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA   %,1.609002048450302,0.08340767379364877,Inf,1.4212186113472303,1.821597023320119,conc0.03 / conc0,1,9.174984657199342,6.774581607031854e-20
CSE,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA   %,1.0614775823264628,0.04928927303282587,Inf,0.9498021493087646,1.1862835418951558,conc0.06 / conc0,1,1.2848587026437506,0.19884166442645548
CSE,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA   %,2.28524734565931,0.13997808365664774,Inf,1.9735540458925114,2.6461679332836243,conc0.12 / conc0,1,13.492813113222876,5.171849480787019e-41
CSE,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA   %,1.0332362666929829,0.053589398061755354,Inf,0.9125893619288259,1.1698330348200077,conc0.03 / conc0,1,0.6303965571513424,0.5284351628023107
CSE,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA   %,1.3236708609753554,0.07199458144220383,Inf,1.1620666884133048,1.5077487081120762,conc0.06 / conc0,1,5.155512996704761,7.588124896572814e-7
CSE,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA   %,1.0559873244378877,0.06022403385230452,Inf,0.921221357223481,1.2104682773903297,conc0.12 / conc0,1,0.9552026628877514,0.5092128291824299
CSE,ASC399,pct_with_dots_all,mean,0,0    %,0.23936788287241464,0.006504809654195978,Inf,0.2268522184291753,0.25234867534018074,NA,NA,NA,NA
CSE,ASC399,pct_with_dots_all,mean,0.03,3    %,0.30080456786919285,0.007388257088147634,Inf,0.2865253259717634,0.31548076830390387,NA,NA,NA,NA
CSE,ASC399,pct_with_dots_all,mean,0.06,6    %,0.20093557303848628,0.00584294526425389,Inf,0.18972743973860096,0.2126320722121646,NA,NA,NA,NA
CSE,ASC399,pct_with_dots_all,mean,0.12,12   %,0.526608695652174,0.009311834028761536,Inf,0.508330392702552,0.5448159548765318,NA,NA,NA,NA
CSE,ASC399cse,pct_with_dots_all,mean,0,0    %,0.1933520599250938,0.006042279149655355,Inf,0.18178431019023095,0.20547106534165357,NA,NA,NA,NA
CSE,ASC399cse,pct_with_dots_all,mean,0.03,3    %,0.3405501782985228,0.007563212201467393,Inf,0.3258862144639586,0.35552598276975694,NA,NA,NA,NA
CSE,ASC399cse,pct_with_dots_all,mean,0.06,6    %,0.29729018679294916,0.0074136035877419,Inf,0.2829675033260055,0.3120223564719962,NA,NA,NA,NA
CSE,ASC399cse,pct_with_dots_all,mean,0.12,12   %,0.28335093277015144,0.00845434514150157,Inf,0.26707744621242935,0.3002098366610488,NA,NA,NA,NA
CSE,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,1.3670821891149696,0.06849630044209798,Inf,1.2125561966067566,1.5413006976710737,conc0.03 / conc0,1,6.24059184368157,6.538775249220691e-10
CSE,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,0.7990681368420515,0.04075015504456341,Inf,0.7072330193072311,0.9028281625505533,conc0.06 / conc0,1,-4.3984672406144005,1.0901807813822e-5
CSE,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,3.5348951014031664,0.18271201215072264,Inf,3.123466231818004,4.000518158523886,conc0.12 / conc0,1,24.42890375276125,2.5303638456013517e-131
CSE,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,2.1544408874573646,0.11059309570869343,Inf,1.9053047798599947,2.4361538304066768,conc0.03 / conc0,1,14.95211502342582,4.526400252077049e-50
CSE,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,1.7649799705019273,0.09272769688943155,Inf,1.5563845646791414,2.0015325048634063,conc0.06 / conc0,1,10.813970291617256,4.433901840474861e-27
CSE,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA   %,1.6495038460257725,0.09380791395526658,Inf,1.4395463042097532,1.8900836535073793,conc0.12 / conc0,1,8.800266941548525,1.3649109344635254e-18
CSE,ASC399,puncta_per_555,mean,0,0    %,0.47395547653108927,0.10362015133257957,Inf,0.30877396284458164,0.727502382857583,NA,NA,NA,NA
CSE,ASC399,puncta_per_555,mean,0.03,3    %,0.9014522182281203,0.19673794094431768,Inf,0.5877217422169033,1.3826544831967373,NA,NA,NA,NA
CSE,ASC399,puncta_per_555,mean,0.06,6    %,0.5927476309521273,0.12947141390261963,Inf,0.3863184000023088,0.9094823182050338,NA,NA,NA,NA
CSE,ASC399,puncta_per_555,mean,0.12,12   %,1.5014708979793592,0.32754131623094396,Inf,0.9791063958444174,2.3025228586466873,NA,NA,NA,NA
CSE,ASC399cse,puncta_per_555,mean,0,0    %,0.3978659422166723,0.08700256288313987,Inf,0.2591802586074357,0.6107614400359233,NA,NA,NA,NA
CSE,ASC399cse,puncta_per_555,mean,0.03,3    %,0.7567317056734424,0.16518670451768996,Inf,0.49332535551862305,1.160781354466221,NA,NA,NA,NA
CSE,ASC399cse,puncta_per_555,mean,0.06,6    %,0.49758702317684655,0.10872981260361839,Inf,0.3242421359490702,0.7636047823003668,NA,NA,NA,NA
CSE,ASC399cse,puncta_per_555,mean,0.12,12   %,1.26042247239712,0.275021818415237,Inf,0.821836750984835,1.9330661558027404,NA,NA,NA,NA
CSE,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA   %,1.9019765840156702,0.5256177888001239,Inf,0.9814826704867304,3.68576545966924,conc0.03 / conc0,1,2.326345682549062,0.030000175224298264
CSE,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA   %,1.2506399024872241,0.3458186102523409,Inf,0.6451244752494122,2.4244936065843032,conc0.06 / conc0,1,0.8088410722069345,0.418606567929979
CSE,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA   %,3.1679576929223847,0.875238192594574,Inf,1.635064541833159,6.137957057581512,conc0.12 / conc0,1,4.1736423767629605,8.993045397865484e-5
CSE,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA   %,1.9019765840156702,0.5256177888001239,Inf,0.9814826704867304,3.68576545966924,conc0.03 / conc0,1,2.326345682549062,0.030000175224298264
CSE,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA   %,1.2506399024872241,0.3458186102523409,Inf,0.6451244752494122,2.4244936065843032,conc0.06 / conc0,1,0.8088410722069345,0.418606567929979
CSE,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA   %,3.1679576929223847,0.875238192594574,Inf,1.635064541833159,6.137957057581512,conc0.12 / conc0,1,4.1736423767629605,8.993045397865484e-5
KBrO3,ASC399,pct_555_pos,mean,0mM,0.00 mM,0.7181002853648594,0.006423564596762014,Inf,0.7053413754869862,0.7305178020815262,NA,NA,NA,NA
KBrO3,ASC399,pct_555_pos,mean,0.2mM,0.20 mM,0.8883569096844397,0.00464586845836102,Inf,0.8789213728946074,0.8971431940701319,NA,NA,NA,NA
KBrO3,ASC399,pct_555_pos,mean,1mM,1.00 mM,0.9554027069003772,0.0030747067717667585,Inf,0.9489729684579414,0.9610555054021718,NA,NA,NA,NA
KBrO3,ASC399,pct_555_pos,mean,5mM,5.00 mM,0.8988621997471554,0.006189483952164607,Inf,0.8860690945147591,0.910364109002662,NA,NA,NA,NA
KBrO3,ASC399cse,pct_555_pos,mean,0mM,0.00 mM,0.7779373055754962,0.00642945137469167,Inf,0.7650808556449609,0.7902830224007924,NA,NA,NA,NA
KBrO3,ASC399cse,pct_555_pos,mean,0.2mM,0.20 mM,0.840751944684529,0.005378662993656759,Inf,0.8299250680281076,0.8510133182189935,NA,NA,NA,NA
KBrO3,ASC399cse,pct_555_pos,mean,1mM,1.00 mM,0.8915939366100137,0.004711575206896415,Inf,0.8820080677667687,0.9004888966033007,NA,NA,NA,NA
KBrO3,ASC399cse,pct_555_pos,mean,5mM,5.00 mM,0.7489669421487604,0.006232669554553611,Inf,0.7365547206947133,0.7609841331339744,NA,NA,NA,NA
KBrO3,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA mM,3.123670184070264,0.17673488731988388,Inf,2.727973680747743,3.576763033936258,0.2mM / 0mM,1,20.131211319468534,5.898945700013195e-90
KBrO3,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA mM,8.409835579412059,0.662952905504162,Inf,6.963504800602887,10.156571510745808,1mM / 0mM,1,27.01235624404217,3.174279458108306e-160
KBrO3,ASC399,pct_555_pos,contrast_vs_ctrl,NA,NA mM,3.4889050525120613,0.26207238884978806,Inf,2.914685434111947,4.176251173791906,5mM / 0mM,1,16.635456051092337,3.8580722064363433e-62
KBrO3,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA mM,1.5070398962932632,0.08253075708491886,Inf,1.3218664509905724,1.71815333335501,0.2mM / 0mM,1,7.489431902265273,1.0375854339681331e-13
KBrO3,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA mM,2.3477104828240605,0.1439861980961837,Inf,2.027121230163579,2.719000930554712,1mM / 0mM,1,13.915440837885484,1.531327187248184e-43
KBrO3,ASC399cse,pct_555_pos,contrast_vs_ctrl,NA,NA mM,0.8516531159136865,0.042446951819337976,Inf,0.7558642330497042,0.9595810968843609,5mM / 0mM,1,-3.221786829037388,0.0012739387878170179
KBrO3,ASC399,pct_with_dots_all,mean,0mM,0.00 mM,0.2717081125152874,0.00635097299023698,Inf,0.2594406464976927,0.284332927289435,NA,NA,NA,NA
KBrO3,ASC399,pct_with_dots_all,mean,0.2mM,0.20 mM,0.7336235038084876,0.006521414578239453,Inf,0.7206481212997538,0.7462084511207203,NA,NA,NA,NA
KBrO3,ASC399,pct_with_dots_all,mean,1mM,1.00 mM,0.9449744841357295,0.003396628225507617,Inf,0.937925245753874,0.9512648029449076,NA,NA,NA,NA
KBrO3,ASC399,pct_with_dots_all,mean,5mM,5.00 mM,0.754319426885798,0.008837189668687061,Inf,0.7365903500329899,0.7712258424074735,NA,NA,NA,NA
KBrO3,ASC399cse,pct_with_dots_all,mean,0mM,0.00 mM,0.30437903804737965,0.0071179923024758925,Inf,0.2906104792691717,0.3185070374294667,NA,NA,NA,NA
KBrO3,ASC399cse,pct_with_dots_all,mean,0.2mM,0.20 mM,0.6735090751944686,0.006893036965560726,Inf,0.6598577386222455,0.6868725187162511,NA,NA,NA,NA
KBrO3,ASC399cse,pct_with_dots_all,mean,1mM,1.00 mM,0.7935231970601746,0.006134387812098448,Inf,0.7812409789849685,0.8052876987944951,NA,NA,NA,NA
KBrO3,ASC399cse,pct_with_dots_all,mean,5mM,5.00 mM,0.5082644628099172,0.007186012852321635,Inf,0.4941773034536668,0.5223385102633129,NA,NA,NA,NA
KBrO3,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,7.382104717355813,0.34179270240725385,Inf,6.607577645946465,8.247420307113323,0.2mM / 0mM,1,43.17605735886925,0
KBrO3,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,46.03189204553957,3.3502595708136944,Inf,38.67129412948832,54.793487856834936,1mM / 0mM,1,52.61428460001568,0
KBrO3,ASC399,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,8.229763272722103,0.47304958348195814,Inf,7.1717556106380584,9.443852691324475,5mM / 0mM,1,36.66918609015743,2.263568662792082e-294
KBrO3,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,4.714441579361417,0.2167000359379572,Inf,4.223190236285784,5.262836424995879,0.2mM / 0mM,1,33.734912640562456,2.6692203202273367e-249
KBrO3,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,8.783068713665095,0.4419501392464766,Inf,7.786290644990244,9.90745138426043,1mM / 0mM,1,43.181520090924444,0
KBrO3,ASC399cse,pct_with_dots_all,contrast_vs_ctrl,NA,NA mM,2.3621967654986533,0.1044943818131937,Inf,2.12482974569682,2.626080310779156,5mM / 0mM,1,19.431910610951014,4.146372556570595e-84
KBrO3,ASC399,puncta_per_555,mean,0mM,0.00 mM,0.6332671019017875,0.0134071707960483,Inf,0.6075272636703598,0.6600974908159571,NA,NA,NA,NA
KBrO3,ASC399,puncta_per_555,mean,0.2mM,0.20 mM,1.9617834394904465,0.021922447154529234,Inf,1.919283352452383,2.005224636863227,NA,NA,NA,NA
KBrO3,ASC399,puncta_per_555,mean,1mM,1.00 mM,6.2131908964235985,0.03798571765853954,Inf,6.139184540401765,6.288089380821046,NA,NA,NA,NA
KBrO3,ASC399,puncta_per_555,mean,5mM,5.00 mM,6.6980778246601025,0.05603761806899665,Inf,6.589141692300565,6.808814962596334,NA,NA,NA,NA
KBrO3,ASC399cse,puncta_per_555,mean,0mM,0.00 mM,0.6622577668409706,0.01427266411334376,Inf,0.6348664395278039,0.6908308936087362,NA,NA,NA,NA
KBrO3,ASC399cse,puncta_per_555,mean,0.2mM,0.20 mM,1.8648162426111528,0.02189209914062897,Inf,1.8223983862814466,1.9082214102494903,NA,NA,NA,NA
KBrO3,ASC399cse,puncta_per_555,mean,1mM,1.00 mM,3.6285419886656345,0.030573017927743196,Inf,3.5691120405467487,3.6889615158992384,NA,NA,NA,NA
KBrO3,ASC399cse,puncta_per_555,mean,5mM,5.00 mM,3.577931034482757,0.03141680215725887,Inf,3.5168820635769222,3.640039744322479,NA,NA,NA,NA
KBrO3,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA mM,3.0978767625839767,0.07416194155884562,Inf,2.9253263122567112,3.2806051058127603,0.2mM / 0mM,1,47.23206710299319,0
KBrO3,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA mM,9.811327444240414,0.21620726149294128,Inf,9.307147539236297,10.342819409737647,1mM / 0mM,1,103.62526573960285,0
KBrO3,ASC399,puncta_per_555,contrast_vs_ctrl,NA,NA mM,10.57701845642204,0.2407807071271752,Inf,10.016019743625149,11.169438788166925,5mM / 0mM,1,103.61228699611443,0
KBrO3,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA mM,2.81584654190844,0.06910509450805044,Inf,2.655176389960021,2.986239173246454,0.2mM / 0mM,1,42.184177523308215,0
KBrO3,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA mM,5.479047842615886,0.12678529241982148,Inf,5.183780348890774,5.791133736617037,1mM / 0mM,1,73.5060351318821,0
KBrO3,ASC399cse,puncta_per_555,contrast_vs_ctrl,NA,NA mM,5.4026260070150816,0.12572796260916339,Inf,5.109866604372119,5.712158463530436,5mM / 0mM,1,72.48673486035926,0
